title,price,price_text,trending_score,watchers,sold_count,time_left,condition,category,shipping,location,seller,buy_it_now,free_shipping,best_offer,auction,link,image_url,scraped_at,search_term
"OEM Stand Mixer Speed Control, AP3606228, PS889134, WP9706648, W10814992",39.99,$39.99,2967,0,988,N/A,Brand New,Auto-discovered,+$20.24 delivery,Located in United States,N/A,False,False,True,False,https://www.ebay.com/itm/125335121060?_skw=KitchenAid&epid=19018597165&itmmeta=01K3G20WX7X8C9KVNT8M3TZCYH&hash=item1d2e8e2ca4:g:QrYAAOSw0r1ij3cV&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1fDFybw8oPzkFkf77Ov9MnRyn7rnNRtbSH7vVVAfN2ImNw9hpt6cSGHEslg9AzF9JIX5rFxQ0CAstNOLM7Za3BTqTIWvVdOL5gvvEaBd0HK3dzRojs6m0AJ5bCV7WddoS8IQ4Jo9L8%2BxOBzMH6eoy9E%2F4yebZI5zD06j%2FYxViJnP%2FIGk%2FZ9lJnG7lR%2BBrrTnCu2Hs10Ty2bUYitXk7Cmu4bIl5MHrJoqi0s40vVl1cXv9lH24Hhd4zPX%2FvBlTnn1oiqyrEj1MO5gSGCZWxQ%2F2EKKCG0z9gZxV1K%2Bmvd4X%2BI%2Bw%3D%3D%7Ctkp%3ABFBM-s6Dgpxm&pfm=0,https://i.ebayimg.com/images/g/QrYAAOSw0r1ij3cV/s-l300.webp,2025-08-25T15:28:00.692577,KitchenAid
USED SKAR AUDIO RP-2000.1D 2800 WATT MAX POWER CLASS D MONO SUB AMPLIFIER,184.99,$184.99,2958,0,986,N/A,Pre-Owned,Auto-discovered,+$94.01 delivery,Located in United States,N/A,True,False,False,False,https://www.ebay.com/itm/203189198770?_skw=Car+Audio&itmmeta=01K3G2E071RSCZNBGZ4YB6TJDS&hash=item2f4f051fb2:g:Z-EAAOSwjUFkxTB4&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1dyS4q69JWQFgA3bxcoCF1KsWIBn4%2FciBKqpV9osWJFvQrJIaJS0DhkPQzP%2F1clPKysxi%2BSyA%2FV1%2B980I7IIEMX5q1H4DE7VmpeODEvZ3iZgOwyUiJRm8KiWJRwLP2X1vbRjm2AlAnqnBANKJVMQ%2BflFbtnDxA96FZbpqBk8YYztPY3rOgPa2--8x8jqAYQZ%2FilsP8CyWIWGSjNOM4kiqu73B5xYnnL6VYYyqnVGQ3QdoWPRJrDVUyWnFMKuaJ5Ipw%3D%7Ctkp%3ABk9SR4SEuIKcZg&pfm=0,https://i.ebayimg.com/images/g/Z-EAAOSwjUFkxTB4/s-l300.webp,2025-08-25T15:35:10.273405,Car Audio
LOUIS VUITTON PadLock Lock & Key Brass Gold Authentic Number random JP Used,21.97,$21.97,2937,0,979,N/A,Pre-Owned,Auto-discovered,+$7.00 delivery,Located in Japan,N/A,True,False,False,False,https://www.ebay.com/itm/405077309763?_skw=Louis+Vuitton&itmmeta=01K3G2JCGED3XXEFAQG1KB5NFW&hash=item5e507d3943:g:v6gAAOSwUMNmhn82&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1dGqiBkLnTzxyaWZVcP3VCQR6Sh%2FN3pI1MGNLHIijX%2FfGMNrjt2N9bW%2BMShODcyJe%2B%2Fj5%2BlCW5IS8f1kSpiPGaOYPumgSXq4NaoylH6qe3aC1eovRSP4ws28xAqWpzkMQHdt7PRxTH3nXDqIzDcn8VRQnGTP10USJIEJ%2Fpli9wB6Q%2Fv7BfojC%2B8mlJrIF8pGalM4bvlfRE43tuEAE7YVHvF2cXOXg%2ByiFYqgDtdasr3c0qYgArPtj3QZnj1bIlpum0%3D%7Ctkp%3ABk9SR9LIyYKcZg&pfm=0,https://i.ebayimg.com/images/g/v6gAAOSwUMNmhn82/s-l300.webp,2025-08-25T15:37:34.812592,Louis Vuitton
eufy RoboVac G30 Verge Robot Vacuum Cleaner Wi-Fi Home Mapping 2000Pa |Refurbish,93.0,$93.00,2865,0,955,N/A,Certified - Refurbished,Auto-discovered,+$178.97 delivery,Located in United States,N/A,True,False,False,False,https://www.ebay.com/itm/385068893272?_skw=Robot+Vacuum&epid=20044911351&itmmeta=01K3G2RH06F5R2HFE3N6BB74TG&hash=item59a7e50458:g:zVkAAOSwj-xjFXZH&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1czYwLT--bL90Uh748V25CTW5aHZKJ2PBzDuqUz%2FVsE8SWGPkjJlA3qfBs1EGSo1AkoQI%2BK2tK9ltSQcu4H%2FUKm6ZNngMg3SHMcGgt0MeDGSVyRkXwhz%2FL2manGulJNOhmBpmi2JayzShDhaapCTSZbEOka9oaAwlduTt8WYri07dQhXfWLPPQVIBhvQiH%2B1zHSUV4mYY77eMEF%2Fb4Q7NKVQxDFd%2BIxhYYW5mdtiVnTPQ%3D%3D%7Ctkp%3ABlBMUKSQ4oKcZg&pfm=0,https://i.ebayimg.com/images/g/zVkAAOSwj-xjFXZH/s-l300.webp,2025-08-25T15:40:54.864291,Robot Vacuum
iRobot Roomba Robot Vacuum & Mop Combo (Y0140) Alexa - Certified Refurbished!,93.99,$93.99,2849,0,948,N/A,N/A,Auto-discovered,Shipping not specified,Located in United States,N/A,True,True,False,False,https://www.ebay.com/itm/387959918553?_skw=Robot+Vacuum&itmmeta=01K3G2R6FKAQQJX61QA83EH02V&hash=item5a54368fd9:g:tMEAAOSwyx1ns56S&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fQBpD3hXD3I6j6sfOG79Vi0MrpC%2F7%2FOA%2F0HHFVzZeYivcdxyIxRLyMRKsbbKogkKttQPHOfIXqqDW2X72j6QuyQlINjJvzhiiSg38isDqtFMh5H8RxAIgulVyBYWi9F%2BoIR8wGHPmvkG%2FZtuN1ND8wiBm7usRpzPF2gZ3JAxf6t8lHHAgHeDFgzIEPJ0Sfb9anOJwJzplHCwhtYrFBqyd2AIfexNpxle1j0BzFVg0%2B9Q%3D%3D%7Ctkp%3ABlBMUP7n4IKcZg&pfm=0,https://i.ebayimg.com/images/g/tMEAAOSwyx1ns56S/s-l300.webp,2025-08-25T15:40:44.072273,Robot Vacuum
Pokemon Cards Game - Pikachu 020/M-P McDonald's Promo Limited 2025 Japanese,29.79,$29.79,2838,0,945,N/A,Pre-Owned,Auto-discovered,Free International Shipping,Located in Japan,N/A,False,False,True,False,https://www.ebay.com/itm/226872049043?_skw=Pokemon+Cards&epid=12084653462&itmmeta=01K3G2G3JJ1YXVKW5F894Z4VFJ&hash=item34d2a0bd93:g:0xwAAeSwbP9omwY0&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cTk12t8jYR0ukERiZsDE6ikD1wnXDA9zS8fkT5VbvfXD4tDDzcm3AqcSIKkLMiyWgWaa7J0S%2FpM6RAH%2FXrflIGTXU7JR3wp9nJzjBZhB7C5J2VMoljZGBOntQVGiwIlV1SHbj6Elw6ezSy%2Fko%2F3u3G975yQbJdgEgUkDNcBOH6slnpFdEFBMqwO0qmVjUpzqJkaXL7j5uzV4Ku6FXfpj7NwrsvO9L8VCsMH5qjBGxml6c%2Bri9excsobzy0r2AhrbLKS35EvQzkvh5yGS1BO%2FjojX5XXFrUU4NyLTNqKtFl0w%3D%3D%7Ctkp%3ABk9SR8K5wIKcZg&pfm=0,https://i.ebayimg.com/images/g/0xwAAeSwbP9omwY0/s-l300.webp,2025-08-25T15:36:19.067326,Pokemon Cards
Impact Bolt Extractor Set Nut Remover Set Stripped Extraction Socket Tools 15pcs,26.99,$26.99,2829,0,943,N/A,Brand New,Auto-discovered,+$43.27 delivery,Located in United States,N/A,True,False,False,False,https://www.ebay.com/itm/125415928943?_skw=Tools&itmmeta=01K3G22C56WMQHQT7KT7BSEBAK&hash=item1d335f346f:g:s-4AAOSwKFhiz4Nr&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cqDHkCDbk7ecbjUsT0%2Fs07kQZTBIvhbsQINhb8crxudIdy0ccpzNi3kpWtY%2F6RVC%2BWOZx75VLf3ZGIQXlnM0iczbU2A8NFtMmKmJwZbEFITx7v7qrMBn4N45feOvxdIwgnP7uMockHWHGUzhAHUnhP%2F5Pc0L7LniZMgyWSPjeWRqg3%2FQ6Ty%2FhqZxV2C88ulLrf6f0iQTtmDL4yh4QPEs2Qr0ktpVnlKcDVHpmkxw7qbXCQHhKK3Na4h8XzSCjmRUBvgm0BxIrh34ae1QaAMLok%7Ctkp%3ABk9SR6TDiYKcZg&pfm=0,https://i.ebayimg.com/images/g/s-4AAOSwKFhiz4Nr/s-l300.webp,2025-08-25T15:28:49.042428,Tools
"4 X Pioneer TS-F1634R 6.5"" 2-way Car Audio Coaxial Speakers 200 watts each",59.0,$59.00,2814,0,938,N/A,Brand New,Auto-discovered,+$71.33 delivery,Located in United States,N/A,True,False,False,False,https://www.ebay.com/itm/271238502647?_skw=Car+Audio&itmmeta=01K3G2E070T1DET43TG2C1WSB8&hash=item3f271318f7:g:fpsAAOxycSdR4IG1&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1evz4%2B2svoDNmjR%2FsmTuhcyIcQ%2Fr5bxf%2FlFqevTshULggds5cXiG%2FJmvUXYNC8v1P8uncGrRTM5JRLsXPXPFKzt2dQqVcGHyIpUHKyzRMcFMec6OD5HB5%2BQ2SccfIWFJPlaG7nrEmMwIPxqqDvI%2FrZUvXJZjJ9nH%2Fo0OC1TSoMiyza9OihxapJaR77aPelUT6TqeLReilBMix5wawL1oaTkdJY%2FzDnxEWLIl8VVd2IV5g%3D%3D%7Ctkp%3ABk9SR4SEuIKcZg&pfm=0,https://i.ebayimg.com/images/g/fpsAAOxycSdR4IG1/s-l300.webp,2025-08-25T15:35:10.271405,Car Audio
1985 Original NES Nintendo System Console + New 72 Pin Authentic & Clean!,169.99,$169.99,2745,0,915,N/A,Pre-Owned·Nintendo NES·Nintendo Entertainment System,Auto-discovered,+$151.63 delivery,Located in United States,N/A,True,False,False,False,https://www.ebay.com/itm/154188521796?_skw=Nintendo+Switch&epid=101801921&itmmeta=01K3G27TH4WWE91JFF24836S3S&hash=item23e65a2144:g:gHcAAOSwAmBfq3Bv&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cOe%2BFDfVCZcXmHQHlr3gS%2BBSWqwf1iKz6jaANJVjapq%2FOzk9kHPIsdOxMR3CVioKUXyj8%2Fqae1yVta9mq9dM2%2F%2BDtjznqvqwuCrENb%2F8InCIj%2F10ISvj1F0huYfwFq3hFAS1T%2FQU4w31twQIYtP2G9NfHbxyZwcVERphODgYsagbEYgxS2UMnvaZ57%2FkTozicRRtoKISj3KQvBJB3I3h1GyOBbIhyVFcXN5zN%2FW8UA2EHKL%2BDuuRE6i73qWtrkZGI%3D%7Ctkp%3ABlBMUPCon4KcZg&pfm=0,https://i.ebayimg.com/images/g/gHcAAOSwAmBfq3Bv/s-l300.webp,2025-08-25T15:31:47.787528,Nintendo Switch
LOUIS VUITTON PadLock Lock & Key Brass Gold Authentic Number random JP Used,21.97,$21.97,2673,0,891,N/A,Pre-Owned,Auto-discovered,+$7.00 delivery,Located in Japan,N/A,True,False,False,False,https://www.ebay.com/itm/387164563017?_skw=Louis+Vuitton&itmmeta=01K3G2J0VBQSZCCC9DEAAJBH0J&hash=item5a24ce6649:g:CJoAAOSwYUlmhn~K&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1chu1VMUaU3zizI9rJk5mpvFLp6NoQPjBv48xTGMua0R2XXCVNyluYVm8T7TMc8tly9%2Be616q1s9WYE3VjM%2F2wicpkZmQFyN48Sodz3t5QATa9IPlfNpTCgIi7eQ9lydPeDYtTnTEIZPv2Sv7GDd10oDXFqgXDRZWVI%2B2IU2S2xqQ793qG2lzoSSXOTNyd4CLz3gbt0a25cGTCXz4RqjKe5U1DXTR0zGs%2BLLL3MkPrhMvuHh5K23oBX%2B57CWntfIjI%3D%7Ctkp%3ABk9SR4aOyIKcZg&pfm=0,https://i.ebayimg.com/images/g/CJoAAOSwYUlmhn~K/s-l300.webp,2025-08-25T15:37:23.503199,Louis Vuitton
