title,price,price_text,trending_score,watchers,sold_count,time_left,condition,category,shipping,location,seller,buy_it_now,free_shipping,best_offer,auction,link,image_url,scraped_at,search_term
Latest Samsung Galaxy A15 5G 128GB SM-A156U Blue Black (Carrier Unlocked),114.99,$114.99,2748,0,916,N/A,Open Box·Samsung Galaxy A15 5G·128 GB·Unlocked,Auto-discovered,+$74.28 delivery,Located in United States,N/A,True,False,False,False,https://www.ebay.com/itm/156284827348?_skw=Samsung+Galaxy&epid=28071476588&itmmeta=01K3G1PHHS6T3H0QV3XPGAQ1QA&hash=item24634d36d4:g:sIgAAOSwmFRmY4Zs&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1c6mtPYyhrtQMHt6e1LGYJaZKEyPWaUpq7bj9ZBjbGXfUMB0P8b3kr%2BGaYVHAEdUInJRacX%2FlAbQrr61EGfmFmog4R%2Bil8AjC5QF86TgiQToww9yBQIBfPI1t7whdcDiCXKJ7aYa0QdpwltBLlZC5AFP3O3UBOpn56nesrofowSns%2FkRqbDLJnWj8C%2B4z%2BBS2YlWyg2lxLwwjUakw1sMvHX0ZaYcpTOCBhU21nzUjMAzErCi3ONjNi58A%2F33PAGZOvuhfK9v6aXnenF3nlkSK7uNqpj1uTXJmf4WX45aOcVjQ%3D%3D%7Ctkp%3ABk9SR6CZ2oGcZg,https://i.ebayimg.com/images/g/sIgAAOSwmFRmY4Zs/s-l300.webp,2025-08-25T15:22:21.307399,Samsung Galaxy
Samsung Galaxy A15 5G 128GB SM-A156U Blue Black (Wi-Fi Only),49.99,$49.99,2067,0,689,N/A,Open Box·Samsung Galaxy A15 5G·128 GB,Auto-discovered,+$59.33 delivery,Located in United States,N/A,True,False,False,False,https://www.ebay.com/itm/156641705633?_skw=Samsung+Galaxy&itmmeta=01K3G1PDEBWR9MH0N0AR105WSB&hash=item247892bea1:g:sIgAAOSwmFRmY4Zs&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fmB0z0a%2F7UfZ8YbfLlJgs0nteWW%2FNw1XsuC9lax9dfIZoMGOLR8y17v0J08qFK8aLMYpEHAPMUdhbARWdMN8j3fMI6eK7ozTMFm%2B3cTahcKLLdnyQsGWtntFaio0uJm2m3F5vgDA12frTVY5zC0WsER7GbPq%2FXMnCEDGdQxGTNAdZXfS8JxE1Ikuv9lXeMU2LAtOeBtkv5XJBI0ym06nJmvudvs3K59DMnHwW6pVt%2F%2BkPiHs%2B8Cd9kc2vaIpuSk94%3D%7Ctkp%3ABk9SR87X2YGcZg,https://i.ebayimg.com/images/g/sIgAAOSwmFRmY4Zs/s-l300.webp,2025-08-25T15:22:17.570837,Samsung Galaxy
Apple AirPods Pro (2nd Generation) with MagSafe Wireless Charging Case (USB-C),137.51,$137.51,2037,0,679,N/A,N/A,Auto-discovered,+$79.46 delivery,Located in United States,N/A,True,False,False,False,https://www.ebay.com/itm/266012284550?_skw=AirPods&epid=25056255340&itmmeta=01K3G1QV5K7P9RNED0BSEACC1H&hash=item3def915686:g:~E0AAOSwL4xjg5lL&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eWxSoH%2FputbgNHfdF7AUvAxarafsdH0iVzWbVoHc3ZqecEbT2G2ZBDQ8PZW6wpVV3hq9jFs1A%2BR%2F0d7oixLynsUWwBQWqPxyRUjHZigA4hmWIiVyTSRFbvFdguh4L3AXqoHGjWrhmogI%2FeekQwYCp6i2H3u0OpZJdXaVar1Hx6JxYX%2F8y9w0JiHw3np%2FO1Dd%2FbQyxdz7YmJulnwbNKK3A6e8qjtP1Czl3W%2Ft%2Bv6HNzS6dCpoFvoVH%2BvhmDo%2BCP6kCE5tmnNOgxMz9ZWpKaaShi%7Ctkp%3ABk9SR4iz34GcZg,https://i.ebayimg.com/images/g/~E0AAOSwL4xjg5lL/s-l300.webp,2025-08-25T15:23:04.172894,AirPods
"APPLE MACBOOK PRO 15"" RETINA Laptop | i7 16GB RAM + 512GB SSD | WARRANTY",219.0,$219.00,1920,0,640,N/A,Pre-Owned·2013·15 in,Auto-discovered,Shipping not specified,Located in United States,N/A,True,False,False,False,https://www.ebay.com/itm/225286636187?_skw=MacBook&itmmeta=01K3G1Q81XB4TDNQZE3V2DQYJG&hash=item347421429b:g:5uIAAOSwe-poK4Fn&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cGQH8MahSciu%2B0SCqaa27waFGm8ef430EQav%2FV75aNt%2BYm%2Bno%2FuXsKI1E4%2BJYjOkKPckvqtpXheTWzLY19Y3pUqeN5YbEjZYVRgclZz99ZX%2Fxt4E%2FrU3mV9YYqTGyx%2BtvAKCx5ptNIsx1jsGriMa1zY%2BroK3x7pMfEJQRKh52fsnYx41RmEXYNr%2FPeUblcVrokSrw0c%2BcqSXrmgXvJv3IEl52IIPpaJpcakQBawNb94Q%3D%3D%7Ctkp%3ABlBMUJyB3YGcZg,https://i.ebayimg.com/images/g/5uIAAOSwe-poK4Fn/s-l300.webp,2025-08-25T15:22:44.461569,MacBook
Samsung Galaxy A13 5G (A136U) - 64GB GSM Unlocked Smartphone - Black (New),104.99,$104.99,1692,0,564,N/A,N/A,Auto-discovered,+$73.39 delivery,Located in United States,N/A,True,False,False,False,https://www.ebay.com/itm/176919617022?_skw=Samsung+Galaxy&epid=23053008621&itmmeta=01K3G1PDEDFW5PFKF77HY06EC9&hash=item29313b1dfe:g:lxwAAOSwW6tltBVp&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1e%2Bxs7D2i97c1jA%2FRUEmNi2RDAAsSSc19dKzjnaKRJhJwagY3uVaqD%2FTMFCIUf3fF1DkjaGXPGA1LyfEiy6AIM341QxR5fnxRDzMu6qvD8h7LfNHonnLqWGPXS2whlGH7sW%2BP6pvTZkdaVcuQIipQF1otKt4iRteqX5ySBeoXiDsLEpPMf%2FZeBesRzhwYLK4OhwvLY%2BAeZmFOIOLcACgj6hl9ZXc1ZXe6HDBOhmuYzHUJP%2BDi4Lmo2on5dozOsKP8KxfJs796hUOd10cAVoblMg%2FYAZm0DsqrGPvn7WHf6ctw%3D%3D%7Ctkp%3ABk9SR9TX2YGcZg,https://i.ebayimg.com/images/g/lxwAAOSwW6tltBVp/s-l300.webp,2025-08-25T15:22:17.626174,Samsung Galaxy
Samsung Galaxy A13 5G (A136U) - 64GB GSM Unlocked Smartphone - Black (New),104.99,$104.99,1692,0,564,N/A,N/A,Auto-discovered,+$73.39 delivery,Located in United States,N/A,True,False,False,False,https://www.ebay.com/itm/176919617022?_skw=Samsung+Galaxy&epid=23053008621&itmmeta=01K3G1PHHSA0JG5AK9FXHAAAPN&hash=item29313b1dfe:g:lxwAAOSwW6tltBVp&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1e%2Bxs7D2i97c1jA%2FRUEmNi2RDAAsSSc19dKzjnaKRJhJwagY3uVaqD%2FTMFCIUf3fF1DkjaGXPGA1LyfEiy6AIM341QxR5fnxRDzMu6qvD8h7LfNHonnLqWGPXS2whlGH7v6A3go2t8ueQiVvYaRi9TXjJbJsZmTA0KV%2Bs7ZX3yQVLV6pVNhvalCfLlzMBZ1PG2vCxtuLR%2Fp%2BKT5y31PRVenajPiSolk%2F8TT6%2BNe7Tef5IsZRxm9v4gFkvy6JbvmOH%2BmOZankIKJdZ9UKxvAvP2TtYKiDvK57IxM9RbLiSM1ng%3D%3D%7Ctkp%3ABk9SR6CZ2oGcZg,https://i.ebayimg.com/images/g/lxwAAOSwW6tltBVp/s-l300.webp,2025-08-25T15:22:21.307399,Samsung Galaxy
"Samsung Galaxy A14 5G - 64GB (Unlocked) 6.6"" Display - Black (New Sealed)",114.99,$114.99,1632,0,544,N/A,New in Box ✔ Worldwide Compatible ✔ Free FedEx 2-Day,Auto-discovered,+$74.28 delivery,Located in United States,N/A,True,False,False,False,https://www.ebay.com/itm/176413959096?_skw=Samsung+Galaxy&epid=15058557925&itmmeta=01K3G1PHHSK28P228MY9CX3HKG&hash=item29131763b8:g:sJoAAOSwTnpmY18w&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1fMf8FGEOJyt1dpyaNAYQK9E%2FiRdfneug1IL%2B%2BlpE5NUOPVpKZjczE2SL91tHgQeeowTqc5qCWmdJ%2FCnZbLh87SExOW%2BApEXLZAS3k%2BgGHP6Kr5ubaJxDq2ng%2F5jkVi2k4f5l6rCu4x%2F54HgBiPoJvAJsjOGVF4LSRJTzHyU9%2FJ9htw%2F89Ln4JCPrFBDvgOJCZmJA62wF5dxykyzfj5Ft29pPkxX%2BG14CPnQjZXNOmPUTGFP9GKWJN0GdkEiqJmOFEiZMfSvbOqiTwUs6FxsVK%2BSegdYSwBcjDx%2Fs3fT0mmJw%3D%3D%7Ctkp%3ABk9SR6CZ2oGcZg,https://i.ebayimg.com/images/g/sJoAAOSwTnpmY18w/s-l300.webp,2025-08-25T15:22:21.327148,Samsung Galaxy
Apple AirPods (4th Generation) w/ ANC Active Noise Cancellation - MXP93LL/A,118.51,$118.51,1611,0,537,N/A,Excellent - Refurbished,Auto-discovered,Shipping not specified,Located in United States,N/A,True,False,False,False,https://www.ebay.com/itm/267073744231?_skw=AirPods&epid=6072245045&itmmeta=01K3G1QV5JBABEA2355T7H3BMX&hash=item3e2ed5ed67:g:cZoAAOSw0QlnQQLb&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1chYl9%2BnACItN1FqYBTJruqIkefJLVS4Z20SAgJ9s2VOcte6gzRvX%2BN767EdTCvqgO12VSc%2FRpwOfLc6%2FhxxhvegJgNIEeICqf%2BeasBfvY62B3ytbCCsl56ZP0uBiaaLEaDenCFgDp3a7yjzl0KB1kzMumyiGYNCNJycYbgX2xg2XnNZCBXOVQmwW2xQh9X1oVAbDRTNecpT2iUusc5z4ZNmChrF9sBPxUErNVyKQ1sFw%3D%3D%7Ctkp%3ABk9SR4az34GcZg,https://i.ebayimg.com/images/g/cZoAAOSw0QlnQQLb/s-l300.webp,2025-08-25T15:23:04.109055,AirPods
Apple iPad Pro 11-inch M4 Chip 256GB Wi-Fi Space Black MVV83LL/A,829.0,$829.00,1485,0,494,N/A,Open Box·256 GB·11 in·Wi-Fi,Auto-discovered,+$266.80 delivery,Located in United States,N/A,False,False,True,False,https://www.ebay.com/itm/365020554480?_skw=iPad+Pro&itmmeta=01K3G1PR0FGW1DQJ8F78MF25DH&hash=item54fceba4f0:g:-GcAAOSwN4Bmmr56&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1d9IBrMIQr2exn16q2eL8sN76%2FmHkve6gygLkhPNHc6xlL3FRYc6xN%2F3jBxK2OcsdDKqrmLJ0dgNJhS1TxHX96zZs48YTtNPScC9RVgq1o%2BTQAgV%2Fb2Tw0PpJCb8ekKuetqRwQAICKkGgRGgkz18JZrFUdGWmanWuhundKqnKGiBS5N98EQJXur5Gttb8BTe30Dp6SANLEwdSbtgvLAFL50FrbwbzatZzZELrHwD08eL3xbbW0KtRNv9RKbvZlDz3L9vllGMuZ%2BqJgS4xftH%2F2U%7Ctkp%3ABk9SR7aA24GcZg,https://i.ebayimg.com/images/g/-GcAAOSwN4Bmmr56/s-l300.webp,2025-08-25T15:22:28.108123,iPad Pro
Apple AirPods Pro 2nd Gen. Genuine Replacement - Left Side Only A2699 - Good,59.95,$59.95,1443,0,481,N/A,Pre-Owned,Auto-discovered,+$20.83 delivery,Located in United States,N/A,True,False,False,False,https://www.ebay.com/itm/196227663419?_skw=AirPods&epid=25056255340&itmmeta=01K3G1R0HQSZBX15XZGPZ8MER4&hash=item2db014863b:g:ONUAAOSwFAllhHnJ&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1d%2BPbd8nNd7qiVlH3Ri8afjn14OoVMrFxRmbas8hcJH5g%2B0yhi1Xd7NtbUZB3ogYA%2BUXtvPd2gsbaB6UyZztEcPjA3PVQzMVebMpemT3vaIcH7H3r8zEnHUt9PONlBE9fndodjBlHiPGpEhjQVKRbAcHxTFkxkWrBIj9sj6TQYtwEIPc0fcyGEvHGqTihZEGb%2BDm6r%2BbGqjcwXUmw0s0gZUljkunQRPRUULgoY0KrcAZ%2BNWdI0DZNgt6tpysyH2b0Xs0PtB7J7rg9HPegQhCNai%7Ctkp%3ABk9SR5aJ4IGcZg,https://i.ebayimg.com/images/g/ONUAAOSwFAllhHnJ/s-l300.webp,2025-08-25T15:23:09.358441,AirPods
