title,price,price_text,condition,shipping,location,seller,watchers,sold_count,time_left,buy_it_now,free_shipping,best_offer,auction,link,image_url,scraped_at
"PBG NCAA Oregon Ducks Textured Case for iPhone 11 Pro, X & XS (5.8"")",14.99,$14.99,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/305226588728?_skw=iphone+case&itmmeta=01K3FR0TF3VBFVERFR9GPRX2ZM&hash=item4710ec2238:g:pc8AAOSwGrllOJu4&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1dFm%2BPCchxKuRQPJKGcQTy0vk7HCEl6rcDb2Mr6GLOlztQC1otiZfChLfch2xIjduIha8qJvaOYVb6hQGq6mTMA1Rw11pCjocbKzWZYEezSDgOlKMQOIzZIZhAklMN5IX6L5v7rSHskDRRaw269zTUo9UdYB1ZaFQgBc9xbCqF4%2FCzTbkm6P1c0nRGK5zCzT6r%2FoMBlAnJt9h57c1Lws3eByuwfHFd2cZ2rMLzRyFSxS94Olz8tKDa5FI18dWWE2nc%3D%7Ctkp%3ABk9SR4iqg_ibZg,https://i.ebayimg.com/images/g/pc8AAOSwGrllOJu4/s-l500.webp,2025-08-25T12:33:12.009887
Apple Case for iPhone 12Pro,14.99,$14.99,Open Box,N/A,Located in Kazakhstan,N/A,0,0,N/A,False,False,True,False,https://www.ebay.com/itm/375010879288?_skw=iphone+case&itmmeta=01K3FR0TF3PGA9E50V770W70S0&hash=item575063e738:g:nqgAAOSwDaJlOJlT&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cLGN9BZ5aOMXn76A9%2BPvw03JWTWu5qOCqW1ABSCBwV4v8vlf04WfW2ythYAOYzb5DUKA6d8WO4dwcDGYMeLHYjU2zoRgNN1dMaynEy937yCCNtvGTJejWhB48KBSkGKMy4UjsvXCq8gnpi0begFBq9h%2F4OcKDaXG5yAhF7H%2BkWxCVxfwXHVYbEBYf1QEYt0haAT%2BVlzalK0NnwDfYePxPRvrlUYCROw2VLl9rXbONhPa5OzRvtFN4lhm7kHn5Neps%3D%7Ctkp%3ABk9SR4iqg_ibZg,https://i.ebayimg.com/images/g/nqgAAOSwDaJlOJlT/s-l500.webp,2025-08-25T12:33:12.009887
Magnetic Compatible for iPhone 15 Pro Max Case with Camera Cover Military Grade,9.49,$9.49,Brand New,N/A,Located in United States,N/A,5,0,N/A,True,False,False,True,https://www.ebay.com/itm/387857204859?_skw=iphone+case&itmmeta=01K3FR0TF3NHRSQF4MCFWTZ7XV&hash=item5a4e17467b:g:G38AAOSw3zBnlHZo&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dl7XptJ7jGD3CuAsplI1OuINK0zRckN1xvhI52RmBZbO%2Fxwm2vwZEAkn%2BdbVCjXcP19N3RFT3UWbOjSYLV%2FCGvxnvepzySEqtcxOMgsggkaDocOGTlBXPoU6zbaSjhNs4jTIRpt0fbof15UekZZxeQc9lXigbPGsPOGpxEBIyvxTg9pJm4a%2FYAXbQJATnyYMfClY7837GopmAOG9E4%2BcJMY%2BsNJFXHWHBn371qJwlC5BmMk308aSorkoDYPEXU2fzx8vpaFMmujlpdysLOk7YwY36i8t5pk0TZJIXO4QHjjw%3D%3D%7Ctkp%3ABk9SR4iqg_ibZg,https://i.ebayimg.com/images/g/G38AAOSw3zBnlHZo/s-l300.webp,2025-08-25T12:33:12.009887
Original Speck CandyShell Red Case iPhone 4/4S NIB,12.49,$12.49,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/357172081224?_skw=iphone+case&itmmeta=01K3FR0TF3E3RF3RWSKAK4YMGT&hash=item53291d7248:g:TaUAAeSwAEhoW3wH&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dpmfz%2B3CawridRLr7vgmbHYb5MCBnIbLLqrHIb1weZ3cQPxDcqFHFCm%2F5kREMsR51z%2BQRX9vAOFXh%2FvLbbgsBd6%2F3BtfrpAG%2BzRPTopnshO0g0zMjbnMC1Wa%2BRFTGQjWfRUVPyZ4j0CzG%2BFKwM82EMr4s1V95wt38x1rvF810%2Fa4FoNBzmCSNXIZSgINDDO22VUbxsGdHKerqdKnrtRqqnUqmKfmDYO%2BMsfevs0uqos%2BuHYNmVDE02sDLT%2FuU7I0vyY2ReLbmgjhSHhkSaUpVYSNHEbcpJ7S3ZgTBHmaSXMA%3D%3D%7Ctkp%3ABk9SR4iqg_ibZg,https://i.ebayimg.com/images/g/TaUAAeSwAEhoW3wH/s-l300.webp,2025-08-25T12:33:12.026537
Disney World Otterbox Magic Kingdom Castle Apple Iphone 10 X/XS Cellphone Case,24.99,$24.99,Brand New,N/A,Located in United States,N/A,7,0,N/A,True,False,False,False,https://www.ebay.com/itm/174533065161?_skw=iphone+case&itmmeta=01K3FR0TF3ZW9074PNP0W8SN3H&hash=item28a2fb39c9:g:k2kAAOSwdtpanm0Q&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cgEmE5JsDpvUfBLE3ScRqzVIntskcp%2FNmN0zxTimdXgZCG4cppz9hXqwwq6yZt8hndmrZI2vZ0LfwWc1I54aFtaLaKw1hfb2oI%2B%2B7SeHzggSFWq3V36VsgHDNRXLmmio%2FJImaAtnfHSDAFSFJyYJStY7cSyhaam3CIEh%2BIa0W5lLvjK2GFgpvSMtXRm%2BFG%2F2Mm%2Fjk6pf8bhNWubwKnP7EcayLNlHsnDpRJ%2BkQ9g2M8Zc6y4MTKdQg%2FQkEyO4LuPAY%2B8vGDow3UDhUX5Buaou273G9i%2BK3MLZNG8E3ZUvhlag%3D%3D%7Ctkp%3ABk9SR4iqg_ibZg,https://i.ebayimg.com/images/g/k2kAAOSwdtpanm0Q/s-l300.webp,2025-08-25T12:33:12.026537
Heyday Apple iPhone 13 Case with MagSafe (White Marble),6.99,$6.99,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/195677768766?_skw=iphone+case&itmmeta=01K3FR0TF3Q0MNMGSR32KRS1VS&hash=item2d8f4dcc3e:g:-dwAAOSwUf9kMfvh&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1fI72ujXFTEJoWO9jDsMkPwbliATaptz9g6SXuHqwc%2BKLciCFefPL6aKBrTWjztiNJYn%2FpEbkAHHcCUE34MDm%2FpzfW2%2BboA3iyPb4Q1nhIBksz7umwXQj1nZPpyN13yqWjlo%2BVpgZ%2BG4vNi27dPe8FN251vl1agexPD52HsT8arwqT9mlAgt6cXM5TetssL5lwBV1P8yg4WTkc8ubwOSlnJ181Ok11gBLSbK1NdqKx1hs4VVmUiIRy1srsm6KGFl%2FiTQ1mQPKYG%2FisIHup74VDSwgDG5QlZxDWg%2B3gFo2UDlA%3D%3D%7Ctkp%3ABk9SR4qqg_ibZg,https://i.ebayimg.com/images/g/-dwAAOSwUf9kMfvh/s-l300.webp,2025-08-25T12:33:12.026537
For Apple iPhone 13 Mini - CAMO Hunting Shock Proof Dual Layer Rugged Cover Case,12.99,$12.99,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/203666403740?_skw=iphone+case&itmmeta=01K3FR0TF3FNRBQR0NW8N9R6BM&hash=item2f6b76b19c:g:Z6EAAOSwOP1hdivq&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dLptNc%2BDK47OXbua%2BNc7zgq%2Bibyz9WiV88NQUWFjBUT%2Fwfi45dZUZ4l%2BXp2YKXnmCbeb%2FKW6S%2FA%2F7KQhyAmvsUfSJVhH9%2BC3Kxe%2BdF1Kr5DoeWzHvU1%2FsMowh3u38m2Jy69KR3kF%2F6g1p9t7q0UlpyMC%2B9s7Ppzurr6J4ieyfYQxrJwS45u2B5kn37LAAs2HlaHZXN2y1RnshRrLz%2F0ez1vrggo9hNVANjAFvhr5qvtcsMtP0nGadImoCh5XN57OZQdQWSpezXls3wWxeoDKbZe8fqYa%2BlyUWWtBrSN%2FGXTA%3D%3D%7Ctkp%3ABk9SR4qqg_ibZg,https://i.ebayimg.com/images/g/Z6EAAOSwOP1hdivq/s-l300.webp,2025-08-25T12:33:12.026537
BodyGuardz Ace Pro Slim 10' Drop Protection Case Apple iPhone 12 Mini /13 Mini,5.99,$5.99,Brand New,N/A,Located in United States,N/A,0,0,N/A,False,False,True,False,https://www.ebay.com/itm/386145736996?_skw=iphone+case&epid=13047942551&itmmeta=01K3FR0TF31PQCZB0KPNW3B9CK&hash=item59e8145924:g:mV8AAOSwxBllEQ2p&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fTlTxuDHHGzAeOVTOJrlGDxe%2B8GDxm26bSdrDQQ1ZjRC3lJoAvqe%2F4hj9osdavx1FSsUw71QT6IRSSYJb4QUMpyloHspNtKND6MefQSU4%2Bk8yHQ68WBc%2B8ImSZPaFG6YYaUKVQngchnTmEMm87pbctrz6bLCQUOomIAcbkHBsGTb--4VeawYnjzXl5LsCO1HbTKJAhIXlkIo9ZQoImCT6fB5ptYGUy7gq%2B%2BlnSknPedsww3YGh8%2F5wOBoLn8advPY%3D%7Ctkp%3ABk9SR4qqg_ibZg,https://i.ebayimg.com/images/g/mV8AAOSwxBllEQ2p/s-l300.webp,2025-08-25T12:33:12.043229
For iPhone 16 Pro Max 15 14 13 12 11 XR Phone Cover Shockproof Case Water Rose,13.29,$13.29to$15.19,Brand New,Free International Shipping,Located in China,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/396651063428?_skw=iphone+case&itmmeta=01K3FR0TF3FF8PK3AAXMDW9MCY&hash=item5c5a3ee884:g:0TMAAOSwgCdoMp3Q&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1ewZPCqAfzFCuptrP9M53WqNOekXH4ij2Fpl7%2FDmgu9XXDTUiFJbc55xVC8PJsCWUcs3HoDjuO9ZtXEcmpKtRMg%2BXMONiN%2FJ6rhKHbt7HFvlp3plil3W2KVRe6rQg4cBRxiKjPMWRtlarduGKhz012gbmpJ6J105QRjd0iPl6oD2bt22iP6%2FZLGnpNtYigDuS0bVqGPbt6VNCcjoFhTI%2B54yng4c27kOQCljct2sZiXFvDABF%2FcgpIXcfngwzzLKLK0LZjyO9Jdbsbh3Ick1QdzuZ6HLAjJ3EJYhDnaYeNIEg%3D%3D%7Ctkp%3ABk9SR4qqg_ibZg,https://i.ebayimg.com/images/g/0TMAAOSwgCdoMp3Q/s-l300.webp,2025-08-25T12:33:12.043229
Apple iphone 12 Nier Automata phone Cover Case + iPhone 12 Camera Case,37.99,$37.99,Pre-Owned,Shipping not specified,Located in Puerto Rico,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/146413183467?_skw=iphone+case&itmmeta=01K3FR0TF3HWRZH0M32BR2NT0P&hash=item2216e7e1eb:g:9zUAAOSwOKNnvVTt&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cYusQ0J1yu1HN0hA6wdVQ%2FIbwYkWcd8eP5pMzkOev6fJ1Xp4Sm2p4DdIWcpu2MAmwIYJfoy0Po3bM3D0ErkI6yiJ5aHLiqgwugkCXdp%2BVgJ1AWjWIhsuAZpjcC7EjQQSZ3ajGEH9XXCrQ%2BmHpoj3ngOdSHjSMMEQqlAsgWumnULfktHO5uWM1HkzPNNr1sJ1pTukIVefRUeTQrXJHeaqxRFnhn4V4WdI4w%2FYnK4YWr%2BKJNnDkmbaBmfdAa4hO6JOQCraIC6qdo3S5b7h8rVCwtjy3wQLUVIGEZVpVjHZjB6w%3D%3D%7Ctkp%3ABk9SR4qqg_ibZg,https://i.ebayimg.com/images/g/9zUAAOSwOKNnvVTt/s-l300.webp,2025-08-25T12:33:12.043229
