title,price,price_text,condition,shipping,location,seller,watchers,sold_count,time_left,buy_it_now,free_shipping,best_offer,auction,link,image_url,scraped_at
Magnetic Phone Case & Screen Protector For iPhone 13 14 15 16 Pro Max 16 Plus,7.89,$7.89to$9.89,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/406016337767?_skw=iphone+cases&itmmeta=01K3FGERHKNXPQVP1NF88ZH1TS&hash=item5e8875a767:g:Bq8AAOSwbAJoCmAV&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dd0VOUeiD0mtdUyZS95hW3BnPW85uCOA8rClTdueF9%2FBCqavDGVlon7CiEpt6woWeo0va1l5lz%2BZEgrZ1wroV%2BXOwCsj5uc4I0KT4sUOuQrd0u%2FlKsHtPcFNAELDfgiVB%2BGSFnjZhPtfOpI%2B7fFDNkfewOWWi4sD0HnS7AP064M%2BzsE%2BdC0Z0kDyEz7NWhMlThQXPpdQl%2BAw35zoBpQ6DgxWsb46DzU%2BL5rACVbQjYAA%3D%3D%7Ctkp%3ABlBMUKKJu_CbZg&pfm=0,https://i.ebayimg.com/images/g/Bq8AAOSwbAJoCmAV/s-l500.webp,2025-08-25T10:20:59.900168
Shockproof Magnetic Case For iPhone 13 14 15 16 Pro Max E Plus Camera Lens Cover,9.0,$9.00,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/405805884624?_skw=iphone+cases&itmmeta=01K3FGERHKQ9AVY41B8ZZTWHX7&hash=item5e7bea64d0:g:Bq8AAOSwbAJoCmAV&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1c0K2lR4pBwHU0o1%2FBPHocXpufbD3XY533LyxkQffP1lhDegApgBG72sovEHEvSfx%2FSp8je9bl2lUObHAke5fOgYoQvoE0BzeD2F%2FMyoS6HOUdhC9J%2F7biA%2BtROedefYWAYOrxVDvb5tXLYX8CaKPFYmRtbZRajZhlcgT%2BhZAHux%2FBjHTogpw3AWJk7iY4OR6P0f%2BAB7BN8HmudJt6nXHGu6ipCLS58WhJ0O5vdBpPUCw%3D%3D%7Ctkp%3ABlBMUKKJu_CbZg&pfm=0,https://i.ebayimg.com/images/g/Bq8AAOSwbAJoCmAV/s-l500.webp,2025-08-25T10:20:59.900168
Leather Phone Case Belt Loop Waist Holster ​Wallet For iPhone 16 15 14 Pro Max,9.99,$9.99,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/405805954852?_skw=iphone+cases&itmmeta=01K3FGERHKP5270SKZ62ZNF9QB&hash=item5e7beb7724:g:CzoAAOSwVcFic3p0&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cS2bURu1YnFAXBlgsLMfs5T1ePA8z9shKDav%2BMA9Lte%2BM6E3WqC929gccg6IpyNUMzwoqz%2Fy2j7JxhBvu%2FqP%2Brh1LEWQEYcDnqaHlXYHZIh5o1Q4hkx9ZlHoyLtGW1acdQpY6DAvLr%2FVVLU5%2BOMOp5lUoe5mqkRnyE%2BxfUJ4fwVhhIR5re1NMTfwW6iwCGOknewsLQH%2FB8c%2Fk8g5eg0aArDQlbKU4KgdxorZTMQdcKVw%3D%3D%7Ctkp%3ABlBMUKKJu_CbZg&pfm=0,https://i.ebayimg.com/images/g/CzoAAOSwVcFic3p0/s-l300.webp,2025-08-25T10:20:59.906377
Shockproof  Clear Silicone Case For iPhone 13 14 15 16 Pro Max Plus Back Cover,7.99,$7.99to$10.00,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/405838590559?_skw=iphone+cases&itmmeta=01K3FGERHKRMNWM2TAP4J4S4J1&hash=item5e7ddd725f:g:l5YAAOSwLKRoGLSn&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dyh8O0eUQPxnyPZHLpURy5IIQKkTkwEJvBhogWgQuNWh%2Bm3kuuo3WtcJquK0hfKwiMMmXrjiPIIf9hN21Ae4frpcn2R4rsAj3KCjNZMEmPxsTF0FYKZZBUJkSIpwzRFPlxqpo0MPEXYaFw7Utyv4SrNj%2BDs%2BA5H%2FwgtfSAXLIh2EfWUrCaC1Ayv9sN5OnY%2FzrJb1ibWqBUZYkWBurZnu1VEi5%2FTden43Sc330ZpvUq4A%3D%3D%7Ctkp%3ABlBMUKKJu_CbZg&pfm=0,https://i.ebayimg.com/images/g/l5YAAOSwLKRoGLSn/s-l300.webp,2025-08-25T10:20:59.906377
Case For iPhone 16 15 14 13 11 12 Pro Max Plus 16E XR Shockproof Silicone Cover,1.87,$1.87to$2.52,Brand New,Free International Shipping,Located in China,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/164873726956?_skw=iphone+cases&itmmeta=01K3FGERHKSJBXF04JRPWFN38E&hash=item26633d6bec:g:l1kAAOSwWo9gpMtM&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1e0wng3Is0mLRz5XJ7uGsEaUvcZajCc0%2B5DzLcrhooa31UNJ0UL34NtzjSW0bRigDaQqD6ExqRrAANIw5KIUXrZ53BEui%2BH76CndD0gxZ0khdxexFAU9IMZK4QhBixK6pqfVa2%2B9d8ojJeLMw2n3ZNBVB0grqgvtETk7TH3LuLx1sErIFOTLxzOI%2FNl12gCSiOLjyJBwoKpnznHhE7PyIR4sto8UmZHYE6cQRpXcz4%2BVPBrw%2FlFGNK4UPfELdQk4%2Fc%3D%7Ctkp%3ABk9SR6KJu_CbZg&pfm=0,https://i.ebayimg.com/images/g/l1kAAOSwWo9gpMtM/s-l300.webp,2025-08-25T10:20:59.906377
For iPhone 16 Pro Max 15 14 Case Phone Shockproof Cover No Screen Protector,10.99,$10.99,Brand New,Free International Shipping,Located in China,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/146755370496?_skw=iphone+cases&itmmeta=01K3FGERHKRPSXJKGARZ37HS27&hash=item222b4d3e00:g:KnYAAeSwrtJokwlw&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1eMN9gpsONCRJMcwnac%2Bt2k1oSSuiABlnjq3CS%2FdbeFpmbzEXW7z20CB1YROfySxS8Ot9pNVkhhjNwi2LRPg0nbVKmUC5HImVy57RFcmDIxQUobOdDfGFMYTYYkjHgAaQLmFfKtt31GSGyjC%2BpfKQpiMGRiXxv10Z14WRbhinn3Nj3GVz9LsAqV6SoY2f7g3eDkcOIvtVswxPV61LLCp8%2FzEtywR%2FPtsukCu5ZlAhbgUGZFmhYXg6z0IUUkZePJzU%2BXaPu2U%2BKyl0nuntuzq1ZJwUoKnJg7cwy8TwNftsfJhw%3D%3D%7Ctkp%3ABk9SR6KJu_CbZg&pfm=0,https://i.ebayimg.com/images/g/KnYAAeSwrtJokwlw/s-l300.webp,2025-08-25T10:20:59.916839
Clear Shockproof Case for iPhone 16 15 14 Plus 13 12 11 Pro Max Mini XS XR Cover,1.56,$1.56to$3.99,Brand New,Free International Shipping,Located in China,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/167466675565?_skw=iphone+cases&itmmeta=01K3FGERHKG75N70H8H8JMAF5T&hash=item26fdcaad6d:g:T40AAOSwHdBm~Bq1&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fUv2s1A7%2Fi08gWoLoU5g7UltLQ1FvLXkq0lpDv7u0vSA07P75CGymAY%2BvaSwwkEoIOK%2F6UD0EttC3urwxBNqRwjeBCVADLoa9xyi59%2FPFq0gtfW0e9yOoZDNBFsFx5Wx3KNw2yj1ZGouy%2B1gjMgSma8%2BRIWFRk1IIg%2F4bfYRAA3taFvN5BTV15%2BAT1UZTFLaDEo71hzqjPD8qAR%2BOwhJOkiTPC2UyHE1oeTKSGgLjGmELjWj8bT8lnVzqlZIytgP8%3D%7Ctkp%3ABk9SR6SJu_CbZg&pfm=0,https://i.ebayimg.com/images/g/T40AAOSwHdBm~Bq1/s-l300.webp,2025-08-25T10:20:59.916839
New For iPhone15 Pro 15Plus 15 Pro Max Original Silicone Case with MagSafe 2023,18.57,$18.57,Brand New,Shipping not specified,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/187447753997?_skw=iphone+cases&itmmeta=01K3FGERHK2X2N48BKJVANS5JY&hash=item2ba4c1bd0d:g:tRMAAeSw1rhoiMp3&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dEIM8kbJQqBR0P0V%2FWnOuFtV2Q%2Fk3fiX%2BVgROgxwRLWG%2BiS3QaCeFPR98X131Tnxr%2FkEMbi2C2mpQK%2BP9sQ9RNfAN4aU25tykTjcXPV9VHRxw%2FTXbFTUZoNZ2oTBAl8z%2FUjIHo4HLz5XLw%2BeK5nJXdqDENKJk8m1llGjXrgvr--QT9DXTpPEd0g4y0J%2BC5OUbiY9HJtkpl75Q26KIjaUIGMu1%2BDx%2F6l7ExyjDDaXAYj4bEnjoK2GULFPbZpBQsNVfLfP7nG6n3VLOFP9%2Broa81%2FaubEQlGIfVelJII8CrC5A%3D%3D%7Ctkp%3ABk9SR6SJu_CbZg&pfm=0,https://i.ebayimg.com/images/g/tRMAAeSw1rhoiMp3/s-l300.webp,2025-08-25T10:20:59.916839
For Apple iPhone 16e 15 14 Plus 13 12 11 Pro X Max Case Leather Shockproof Cover,9.89,$9.89,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/154960638602?_skw=iphone+cases&itmmeta=01K3FGERHK17CBFJX8SDRWR8J5&hash=item24145fb28a:g:HcEAAOSwis9iYFPb&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cdoisKKt3ryqJrTI7UFW%2BYic2qdlyM5f8UVKQgu6T2rjUjiOCgluaOqrmuR2aOal57mHTvFGsNCZcflvvS2oIycd4WhPs%2FFIKwy3DNJrrGNqbIz2%2BQysNhBulik%2FB7DH8GiarcRYlIK7s5WZjQYTgbYE60Qphlxo2qKBVp6%2FnxhY0enMdS6mLrZhv0N1GCFWgjXIHmyGxS%2FxO%2FmCVC4tfUeg2bvUrjegD3VndqPz9uUjvGCMFhUl3e0phWLqdDrd8%3D%7Ctkp%3ABk9SR6SJu_CbZg&pfm=0,https://i.ebayimg.com/images/g/HcEAAOSwis9iYFPb/s-l300.webp,2025-08-25T10:20:59.927189
NEW RIMOWA For iPhone 13 14 15 16 Pro Max Mini Cover Case Skin In Box,11.68,$11.68to$37.64,Brand New,N/A,Located in Australia,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/257065189845?_skw=iphone+cases&itmmeta=01K3FGERHK120CB3CE1XR8JYVN&hash=item3bda4781d5:g:nHQAAeSwYS1onYTZ&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1ezQfcdEUBgssbh%2FdsTOkifWHrrGdjfEIBGuaTU4KFQLscxooMMhfl78j3pLYOzhe5a8dhPxJjID%2B27i2eSPJaVvD7yIxGWF7su7nfbtcZ90Cm%2B%2FHbaowkHnOtfC%2Fgnanwyrdxd6paXNcgzgUYMkS8iFS28xtVkbXP00YklAb6oaOBkWDojEobnNY8CFgUkPTD8LxdLla89PhdXEs5%2BV6ltYRSF6fJobmCStv69GjhKwUOrAeErv2qRnJf1j9UuNSqZYpCxREHw4ICFCEGQrWBP1CQ55%2BVbAIonLe8i0YwbWw%3D%3D%7Ctkp%3ABk9SR6SJu_CbZg&pfm=0,https://i.ebayimg.com/images/g/nHQAAeSwYS1onYTZ/s-l300.webp,2025-08-25T10:20:59.932397
