title,price,price_text,condition,shipping,location,seller,watchers,sold_count,time_left,buy_it_now,free_shipping,best_offer,auction,link,image_url,scraped_at
Nike Air Jordan 11 Retro Low Bred FV5104-006 Men's & GS Size New,139.99,$139.99to$209.99,Brand New,Shipping not specified,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/267243868409?_skw=nike&epid=24068895680&itmmeta=01K3FQRD22JQM1TXAQR7PWSBYC&hash=item3e38f9d0f9:g:UyoAAOSwpvdoHA1g&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dTR6eAYjuujySMvbaXJfX73fHU9tagS%2B70n9l5VbQFVT1q4rGTyjzoZQGQE52iuCCOuwLOvJrEBxIi4IDQXIkdmkTaY6Qd31q2ihzCOr9BURzrwVi2%2BKmQRaNZdQ%2BzZrWdXO%2B8h003kHnzWaom9LOWnJ04RC9y5z%2FgkTfAMRlgnErEc1O23JOJ2xMKN7pC1EJvoaBHNWZMp6cZVVx7uddLyTU0yI%2FpgI5QlamflCvB8FrCcujvHws98rU3Axz7WHlfMxV9atp9y7EA%2BcK%2Fdt12%7Ctkp%3ABk9SR7DR4febZg&pfm=1,https://i.ebayimg.com/images/g/UyoAAOSwpvdoHA1g/s-l500.webp,2025-08-25T12:28:36.722079
Nike Air Max Command Mens US Size 7-15 Black/White Running Casual Shoes NEW✅,87.58,$87.58,Brand New,N/A,Located in Australia,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/225272243923?_skw=nike&epid=26058781072&itmmeta=01K3FQRD22H3Q5CBPTJH2E0SMQ&hash=item347345a6d3:g:JXwAAOSwVKBjhHtE&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eS8K0bHiXs9uLzfjeXGHpHYeGaikZxUXf6dzHQgI3E0AidpeMP0MLeb5GCR5SKMA6aRim5fUcenbu0hDlGULzWEAKR%2BfFypFgDZ34bFLIqoFkDLY%2BL4UeCQQqAC5F%2FoO8Areul07ohTEdMKD22MdLqGxdskh%2BELFbFZiAh4aF%2B9cXIvpKAo%2F1gvyJ3ww8XeliZPQp0vPuNoxtbFtH1VYiZmFgb1Sbb9SFM43NitKUfQw%3D%3D%7Ctkp%3ABk9SR7DR4febZg&pfm=1,https://i.ebayimg.com/images/g/JXwAAOSwVKBjhHtE/s-l500.webp,2025-08-25T12:28:36.722079
Nike Air Max SC men's sneakers sports shoes shoes sneakers casual shoes,89.05,$89.05to$93.73,Brand New,N/A,Located in Germany,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/196898540734?_skw=nike&itmmeta=01K3FQRD22YJDGRDQMFA0NENP5&hash=item2dd8114cbe:g:vM8AAOSwapdnYUp4&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fFz9Pv6427WipN3wGqx%2F6SmE0CSb0POu0QLtwhZyPhM2jFgmu13HMmxq77VhX4%2BfWfwCJeRay08c265I2q2bvBaw4CA8qX2%2B0GzqX4gaEsx03EHKc8dtsp5%2FeyUDJfM8AqdNDIdNXLjOz7rpccVEIDDgXfUq6i157WMXK3lvLy0Bfzd0RsYpUsJW5NfT%2FoJcnEV9VuDs176J6k5vkYJGVIqTsqOAd0akD5gziv80CN6sW61GvRQQeHjnUcTYNzC3kXbU2jvlv1GwBxfZ3zRy13%7Ctkp%3ABk9SR7DR4febZg&pfm=1,https://i.ebayimg.com/images/g/vM8AAOSwapdnYUp4/s-l300.webp,2025-08-25T12:28:36.722079
NIKE WMNS Air Rift Breathe Triple Black DN1338-004 Women's Sneaker,117.99,$117.99,Brand New,Free International Shipping,Located in Japan,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/306294227807?_skw=nike&itmmeta=01K3FQRD22J9VVH37X5J94PY4G&hash=item47508f035f:g:584AAOSw6EdoItSU&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cCcNTItrwPUhGHezx2HmD1YLtudJs3jtI9tXQaVyW6dLMKipeUb%2B3iygnen0%2FaiUa2Fw%2FqB%2BAm9wSoU6P51Zj0ZKUUi6AcNDpOqMAhuGH1Ad6Apm5U4xFq3bLzhzB6YXiP3Xj3%2B4DsQk%2F4oQFa0oRDpUla7N3LG5zyCcHsRitc4QlD9M62KsIKiPqDDpExhvsCfGH0SnrStp4gX2htPzQiy8zPVAyqJusqPW0MgwJibTb5rzgxZ%2Bj1VFEZ4ujbqRZcbZgyqS%2BatMxlrS2uMNUg%7Ctkp%3ABk9SR7DR4febZg&pfm=1,https://i.ebayimg.com/images/g/584AAOSw6EdoItSU/s-l300.webp,2025-08-25T12:28:36.722079
NIKE Shox R4 HQ1988-600 University Red Black Metallic Silver Men's Size,179.39,$179.39,Brand New,Free International Shipping,Located in Japan,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/396348147344?_skw=nike&epid=18075290188&itmmeta=01K3FQRD22S18P96QTVFG1XDZC&hash=item5c4830c690:g:AowAAOSwTQ5n98uX&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fOr0sP0U4zJsetwVmW23Kuqn1QuXPt1foC2wgOc5o4QXoeTKmdVohrKCAPs4mRgHWq232xTWqhcipRxhNYnOUCsoKaHxeSMXN48Hhwz%2F8VgZwtKA%2FuDfr2MlcDs2ySxkI3VXr34rd6tPN5NklZze9cdoyuwVDUgsGXG9fiIIUrIibP2X5Dz7vRRsV91Ev2b51A85yQFer0JTv2ZM0T3IdJD5Sr2BEt5td87pdmVX7jzkbAUhYUddYez03i0Cp9Qh7ASg0Bhr46DADrq0C6J1RM%7Ctkp%3ABk9SR7DR4febZg&pfm=1,https://i.ebayimg.com/images/g/AowAAOSwTQ5n98uX/s-l300.webp,2025-08-25T12:28:36.737734
Nike Air Max 2017 'Oreo' White/Black Mens Size US 8-14 Casual Sneakers Rare New✅,97.35,$97.35,Brand New,N/A,Located in Australia,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/226152565807?_skw=nike&itmmeta=01K3FQRD22XKPVYYQ2KBZXZWAG&hash=item34a7be4c2f:g:dycAAOSw~apmAlzs&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fQ3Cl6YcCj5DYIwawbi1YoWfhIt5OwJkGqbKU0KTXWqGk5HlR3%2FVtCFR138IhDpSmHyShJ5K9kzQI2McZ%2BbYLAalcm0uUQL0is8HUJuxp3oDYa4NpoBBXs66PsRx4DeNjxcTJH%2Fs4CTjPshEHonb250IYxOW3HWN6iOJf936rzuAjI%2BdZcOoy5W1fX1bofkdsiwpYrn2AkJMx6E1pYIFhEDNUDG0m3ggDiYyrtuj1rTw%3D%3D%7Ctkp%3ABk9SR7DR4febZg&pfm=1,https://i.ebayimg.com/images/g/dycAAOSw~apmAlzs/s-l300.webp,2025-08-25T12:28:36.737734
New Nike Air Trainer Huarache Shoes - Black/ Cool Blue (IH4470-001),184.2,$184.20,Brand New,N/A,Located in South Korea,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/177319066792?_skw=nike&epid=13084178636&itmmeta=01K3FQRD22BVMJR2FVMY6114D3&hash=item29490a3ca8:g:ph4AAeSwbzZok2po&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1enTHzJ4EDRUN9M924Pm4lZ%2BJ3djdmHohjp5NCX5AGWjyExq47gyKnGcA3JP3tKSBKqQuf%2FPqlz9bxj3JQMN5zpAeLYEaTYwxlBxRoYfC8yQKno2Eqbqfimnsw1YtIsvl886hLMD8EauH0X2fuacguVbOHK5T904mlg%2FH66mhHltfmSsbALf7TBjqeQVtqEPptiQ%2B%2BFEdN6jxPMzaTdU3Xi0XH3YHLosVm5P35lUKKyJw%3D%3D%7Ctkp%3ABk9SR7DR4febZg&pfm=1,https://i.ebayimg.com/images/g/ph4AAeSwbzZok2po/s-l300.webp,2025-08-25T12:28:36.737734
Nike Air Force 1 Low White Men Women Sneakers Leather Sports Shoes Casual,87.87,$87.87,Brand New,Free International Shipping,Located in Italy,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/157249481854?_skw=nike&itmmeta=01K3FQRD22R9757RW8ZT6RE5JX&hash=item249cccac7e:g:FlYAAeSwFwxooPDn&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eyPKQpR3GjF4tMYkaYASjzM%2B8O5nzPtoLnAlaA%2BEr3hKMDDnz7MiVgWOrzwEZCp0OtNgMUB90G7JcC8Q3O%2BbNt2fd6Snkkc7klVAqVUY7dVhfuBHE9BzvDCog2o1wiHl6IL9SLZP16NVMzyLqF2HSqHbQ0UGLlH8dF8fH9oJmlPux8Durp0feHuZPMyLqU3aYl%2Fhfcj%2F7hErheUpf26X4FotKS1dKNbidDrc7AknF9tSQNdEh0egcyP5eYZ57b69XH%2FAEqddpLn4dCm6BGdPRf%7Ctkp%3ABk9SR7DR4febZg&pfm=1,https://i.ebayimg.com/images/g/FlYAAeSwFwxooPDn/s-l300.webp,2025-08-25T12:28:36.737734
Men's Nike Air Huarache 2024 Triple Black Classic Retro Nike ID authentic,185.0,$185.00,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/267098448337?_skw=nike&itmmeta=01K3FQRD228X5GZCHBRNEFWTSQ&hash=item3e304ee1d1:g:ixIAAOSw4t1nX7ig&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eAQWP3Ox6Hpyx0Gj7TQq2ilpnLXgJBUxLAW5g1Jb1L%2Fzru9iwT3HMVqBLaJ18Xcjm8mWLfS4sjWVB2ZWGCqJtOjtdmWQT6XP27sugzZVwGw%2FJU28xxRtcXiYCVXP61nZXMWZqndi0Rtq%2FhqPC%2BQu6Sy6DxBwynQTNcvgbCkGXcJzo9qC9JxvqOMNEhlKPzqs85RicABwSKuDQ2JOOIRYdKk31ABxbT%2FlmrJPJuOM21Ojg9zhLf42LFMrdAPH08%2Fd9d5uXosbY8yoMpyAgm%2B%2FWw%7Ctkp%3ABk9SR7DR4febZg&pfm=1,https://i.ebayimg.com/images/g/ixIAAOSw4t1nX7ig/s-l300.webp,2025-08-25T12:28:36.737734
Nike Air Force 1 Low Supreme Black CU9225-001-05.0 Men's,165.95,$165.95,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/314851828184?_skw=nike&itmmeta=01K3FQRD22H8NK3ZJSCAXS53HP&hash=item494ea1a1d8:g:puwAAOSwbDhlMsJ5&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eZe%2FCMoJxkjEGg5N3FCk6yZMxhK2CxoKleZQpR%2F7E2DvLdvOOprHPuOmAWZKleOx03LWkHONPNqzVrNHaXYZl%2FR4X8kqvkHqJ3iqg0FX7zBWX3hOnx9SVKCxtXiFJhUSKlDQ6IrZkMNTH4RGyOzDpD%2B75tGYuL38ALVK7R%2BvH35AE4y%2FjurJVNU0EL5mCIc5f4aTf%2Bpd%2FstfltAVK0E5%2BPCDrYJjRBmnStfGdxBxNj7yO%2B8OtEsnMCd6gJbJPE2eQ4E6Ak1QNzoqsgKksyUBA7%7Ctkp%3ABk9SR7LR4febZg&pfm=1,https://i.ebayimg.com/images/g/puwAAOSwbDhlMsJ5/s-l300.webp,2025-08-25T12:28:36.753387
