title,price,price_text,trending_score,watchers,sold_count,time_left,condition,shipping,location,seller,buy_it_now,free_shipping,best_offer,auction,link,image_url,scraped_at
NEW CASIO Retro Classic Unisex Digital Steel Bracelet Watch A158WA-1YES Silver,13.51,$13.51,1932,0,644,N/A,Brand New·Unbranded,+$41.32 shipping estimate,Located in United Kingdom,N/A,True,False,False,False,https://www.ebay.com/itm/388489917348?_skw=watch&itmmeta=01K3FZJAN09G1JR13B192X0501&hash=item5a73cdb3a4:g:OIkAAeSwd8VoYiDe&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dr0E0ATNS465ETOmY8rFdoHJXoC6khbsD62%2BH419efg4F8hhpKM9BIcbfz04QEbCLajevg3IaVUVt774UZBKnnaQ2Gj7tlWufBLVlnUfboe%2FXElmEVY7rxikEo3sOOtHBKYyXl%2B03kE3TQT%2FAuJWJnrHmHtghsoHphWBoVvaiq5lCGK9A5LoyQtHCcJpo0z2BW0rJmvHpdUEJ3hbKu91Go1I1FbnhMYtLminAyp3auLVH82Ko2iSLaYks4if%2FFoEv0p9f5RcMmG%2BS2xy%2FILnkv%7Ctkp%3ABk9SR_Cqyf-bZg,https://i.ebayimg.com/images/g/OIkAAeSwd8VoYiDe/s-l300.webp,2025-08-25T14:45:06.017408
SEIKO SEIKO5 SNKE03K1 Black Automatic Men's Watch New in Box,135.0,$135.00,1695,0,565,N/A,Brand New·Seiko 5,Free International Shipping,Located in Japan,N/A,True,False,False,False,https://www.ebay.com/itm/314029947231?_skw=watch&epid=17060463657&itmmeta=01K3FZJ6BW9J29S9XAH60ERZ6X&hash=item491da4b95f:g:JMkAAOSwzFZoGtRL&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dyOkkQSYTnqtFqFwfPY%2F0D%2BxRks9RcIJ4cgXwvC9dr765kd0wJg%2B9%2FReYnW7kpYk8XJS37k%2FQBN5mDQ8r2Bw9BRWKawpcnd3bngQOBvLqQC1WnkXuOOT7YdM8MJIpzxyNw3bKxO93SrqAm9QsxQ03yRUDWxRnD%2Fp3p0OkJd9IpTz%2BAZpvj5J30bOYfqpB%2By%2FuGg%2BKLced%2B5TEhKzMbW8lIy1bLYMw2rAHVrRVbBLpXvQ%3D%3D%7Ctkp%3ABk9SR7DmyP-bZg,https://i.ebayimg.com/images/g/JMkAAOSwzFZoGtRL/s-l300.webp,2025-08-25T14:45:01.637636
SEIKO Spirit SBTR027 Light Blue Stainless Chronograph Men`s Watch New in Box,155.0,$155.00,1014,0,338,N/A,Brand New·Seiko Spirit·Stainless Steel,Free International Shipping,Located in Japan,N/A,True,False,False,False,https://www.ebay.com/itm/314028468003?_skw=watch&epid=17063501903&itmmeta=01K3FZJ1R71133TAXDB2A2M7H7&hash=item491d8e2723:g:L-AAAOSwgwlmqyD3&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dEygOYuLqn3k8UTdLQhjttNDH9%2BKxTZDj81PH3cIoWvVHtmW1LP1eQuKomJ3hweRE1MhOusYYOOagGxF35AVuFbZziDG%2BYnlRZx0qWRcG7yyXWnXaw4V30FtMbhq4b20UBdfA30kaQ5YFJLxWfCP%2BZNbdylSZXacApuGlowTxM%2FM7evDXT6fzqcmQnk4EjJQhsjSRJxmgLDeBOYwomMahq4ft9rZaiJX4unze9kx2AJQ%3D%3D%7Ctkp%3ABk9SR6qcyP-bZg,https://i.ebayimg.com/images/g/L-AAAOSwgwlmqyD3/s-l300.webp,2025-08-25T14:44:56.905811
Very Beautiful Military Chronograph Watch 39mm 316L Stainless Steel Men Gift,234.35,$234.35,819,408,0,N/A,New (Other)·Markenlos,+$16.98 delivery,Located in Germany,N/A,False,False,True,False,https://www.ebay.com/itm/306370142122?_skw=watch&itmmeta=01K3FZJ6BV170Z8PEV8VZRDSEZ&hash=item4755155faa:g:3CgAAeSwpV9oXbQw&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1crRrXxSD0LNNw%2FF5PSfa1n7D5%2BTDq9IXGiCzbZ2tPyfKHB%2FiZ4L2r2AmNLkk2oTPIOcRv61LLjkXb%2FuEIovpQXaO3DMBWLhxjMEtB89FA12AowvyPJ%2FDcvW97tev2tBMj8j4cx6Sxrn7Nk%2FodK%2FzsLc3VYyPFDRgq1Mq4NF7SueVammCLwRkVR%2FTTanVYcVswZnhidknyUvlutmO3APTVYhUwqz5t%2BberKL8N%2FWA0kBuWKw89sCN8GpV3oTxwNjO08u2c3d9ye6iZUazADpZxL%7Ctkp%3ABFBMrubI_5tm,https://i.ebayimg.com/images/g/3CgAAeSwpV9oXbQw/s-l300.webp,2025-08-25T14:45:01.571296
New Casioak GA2100 Custom G-Shock Royal Oak Mod Stainless Steel Silver Gift,252.42,$252.42,667,332,0,N/A,Brand New,+$18.49 delivery,Located in Canada,N/A,False,False,True,False,https://www.ebay.com/itm/388567139507?_skw=watch&epid=4052188844&itmmeta=01K3FZJ1R776JJSK7V9DG6PQJ1&hash=item5a786804b3:g:mWQAAOSwEblmWQFw&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fGTU7--5G3YYkIwfTBoBCpPAQlTs2jva54RLDOwjfeKuxhti7eS03zxt6xFeoxXqtQwXC%2FF7ea0U4wyDxIrApkUjj06SFENhEmJKAptZ1W3ReayEZJhYUU9IYbnk4eHOTN0%2F3P8FQOUJjJx8vu1ft%2BqW2y050pTtb4DCWXmIYBaMoHnQ6HX8dxQ4Vj8j2meSoavYA22wX9hmNiC7rv4lVKkTxPotYQyUDgdllPZZQxFvwGNKHgX4m%2BC%2B8OtZSp7WYT7g9q1HNLuVeLROzyO0wZ%7Ctkp%3ABk9SR6ycyP-bZg,https://i.ebayimg.com/images/g/mWQAAOSwEblmWQFw/s-l300.webp,2025-08-25T14:44:56.955870
Seiko Presage Cocktail 40.5 MM Leather Strap Automatic Blue Dial Watch SRPB43J1,315.0,$315.00,563,280,0,N/A,Brand New·Seiko Presage·Leather,Free International Shipping,Located in United Arab Emirates,N/A,False,False,True,False,https://www.ebay.com/itm/167503306447?_skw=watch&itmmeta=01K3FZJ1R73KGBWXV011GE0B9P&hash=item26fff99ecf:g:ZmQAAOSw6Ilm5J0D&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eZNI8zhtQ8oEL2q8RbqcDVPDfadheOBeCstS%2BvMBXIlwRFQPvaUuKdUhS3xoLyZBegj1%2BFI6fNncL7u3%2BkYppJSdEIegdrdMQdyZUSLEg7XUuMCQOS%2BtoC0fS5OtilEDhD2a2M9z3jJbAIOJJRPXtxkrnPwCIyel%2BW5CD3fZ%2Fs9jJJ7bn3BEV%2BOOdsI1Q6C4TL8pw8f2WPzfF7LdrIIrF%2BmyenKkVEsPyw7E3krXwGI0%2BfReayNYZVw0lWNEl26BiSvYqhD8vBJ73CIiHs1V6W%7Ctkp%3ABk9SR6ycyP-bZg,https://i.ebayimg.com/images/g/ZmQAAOSw6Ilm5J0D/s-l300.webp,2025-08-25T14:44:56.975697
MWC G10 LM Military Watch (Black Strap),114.95,$114.95,513,0,171,N/A,Brand New·MWC,+$13.53 delivery,Located in United Kingdom,N/A,True,False,False,False,https://www.ebay.com/itm/201617468098?_skw=watch&itmmeta=01K3FZJAMZNCFMKE3DYPCDMK8D&hash=item2ef1566ac2:g:H2sAAOSw-0RbBoK-&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cCRd7Ebdh78WE1IH8MbeEsDHkTsBLUDS5uMtTWWU8iAlLdaADPxk%2FcM7u2bPe25OXglk%2Fl3hRQil0uf9%2FvfhWdCkbuBfeCgpEGEj%2B01wyWKnmQnwCrIwgZ3NyPptSN8pokTdhS3A%2B0B45eTDv1vRdk9XqCb6cX8eGodVkL1lGKdqts4xVKX8KsxFFoO8FPPhzhh9Nokmufcj1nnQXIX4ksOBnF%2BG34WD9Wn4VgSKRE7Z770CvB6vjVLouU8i0REeYj59phj52qwLUD%2FOT2abt%2B%7Ctkp%3ABk9SR-yqyf-bZg,https://i.ebayimg.com/images/g/H2sAAOSw-0RbBoK-/s-l300.webp,2025-08-25T14:45:05.918988
[Brand New] Casio F-84W-1QJH Black Light Men's Standard Digital Wristwatch,21.99,$21.99,489,0,163,N/A,Brand New,Free International Shipping,Located in Japan,N/A,True,False,False,False,https://www.ebay.com/itm/356886401036?_skw=watch&epid=691445683&itmmeta=01K3FZJ1R73EAMPSQ2CTH9WNF3&hash=item531816500c:g:SogAAOSw-0VoIbW5&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dFVcdc0QFC7ims4q%2FqPqqygpXBqDXzeqZtozCarRkmGx5FjtNoG4YjD7OZMqt6vAXbr1fikGy%2BK0t7h8tXhetN71WpXa2kHdwQuP3kf%2BbuOqXjwjRh3eI%2BwY2DHWlSUmNF%2BglLR79y%2FjvgJFfMoB4adK0leBjs8L1dBXcXpBscfLhCbkKsx5ktE4X63xrBUNEWHwS47GJozO0ytrh%2BIFqFEHkJ4jMa4oz8Umf%2Fr4RiYHIzYREJompdipP4%2BUzvf1Vs72Gc11Gg7knsGWNzR31v%7Ctkp%3ABk9SR6ycyP-bZg,https://i.ebayimg.com/images/g/SogAAOSw-0VoIbW5/s-l300.webp,2025-08-25T14:44:56.986163
Stuhrling Men's Chronograph Diver White Dial Blue Bezel Silver Bracelet Watch,99.0,$99.00,438,0,145,N/A,Brand New·Aquadiver·Stainless Steel,+$30.40 delivery,Located in United States,N/A,False,False,True,False,https://www.ebay.com/itm/284838619680?_skw=watch&epid=26042020983&itmmeta=01K3FZJAMZ6KJVX1P4CAE1BT9W&hash=item4251b46a20:g:QSYAAOSwxLpfmE-4&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eWVCr8QYiqaBRriB6qh%2FrB%2Bwo8TyKGsud0hyI2IuXezdqLawAfiSbeVlTdFPFmTHMBodw2tiPOy4GpWayNfFBvtur0s501aTFWHkmH4cSrOB4GeAV7GRugxmvS7mAftSvU6N7uMy4faIwRAssbtf91PPDrsBvkg8g1JMAMkfyfNsK1eseGY7O%2Fa4tfENWqukgJZXBUuSFvTrtu%2BjMqlOAS0LhJfL8iMfRn0DknPOdJCpsQvQtWXOkbVz5cKyEh35SYUVTpGe8PgT4zHKltGASx%7Ctkp%3ABFBM7qrJ_5tm,https://i.ebayimg.com/images/g/QSYAAOSwxLpfmE-4/s-l300.webp,2025-08-25T14:45:05.967255
Movado 2100016 Men's Museum Two-tone Quartz Watch,304.0,$304.00,390,0,130,N/A,Brand New,+$36.45 delivery,Located in United States,N/A,True,False,False,False,https://www.ebay.com/itm/324850778439?_skw=watch&epid=12051777889&itmmeta=01K3FZJ6BWT2CGYPZMF4NKNV27&hash=item4ba29d8147:g:3p0AAOSwKcFheCqU&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dBejNgKcBc7PLT4KPrp5MDZzYOZ1Zedqr9kYp4NxXnDurfOQddFaaEoqa1o4hY9hjCNVpMMPkiLy7K9fKYQ7pXJpQ0G3gfdkwoiTB%2F3QnNMe7%2Bx5trSgIXYMefDfRMlWaTUxgS1449Wrd6ZnmLntAzGUlfprHwcaaBzb27iGxx8TW8UKcg1diZmplwXfOqqsO9inYColaYceGBYlhhrdq8MCHVY2booyev228S6i6R%2FXuFuvK4H3svoGb6GyqFVbix1qJ%2FQy%2Bk%2FkvGPBskRZsN%7Ctkp%3ABk9SR67myP-bZg,https://i.ebayimg.com/images/g/3p0AAOSwKcFheCqU/s-l300.webp,2025-08-25T14:45:01.587824
